No,Time,Source,Destination,Protocol,Length,TTL,Flags,Window Size,Checksum,TOS,ID,Payload Size
1,19:37:08,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1023,33291,0,36342,20
2,19:37:08,202.83.26.162:443,192.168.1.156:53269,TCP,54,88,FA,124,50435,0,46738,20
3,19:37:08,202.83.26.162:443,192.168.1.156:53269,TCP,78,88,PA,124,50412,0,46737,44
4,19:37:08,192.168.1.156:53269,202.83.26.162:443,TCP,54,128,A,1021,20528,0,870,20
5,19:37:08,192.168.1.156:53269,202.83.26.162:443,TCP,54,128,A,1021,20527,0,871,20
6,19:37:08,192.168.1.156:53269,202.83.26.162:443,TCP,54,128,FA,1021,20526,0,872,20
7,19:37:08,202.83.26.162:443,192.168.1.156:53269,TCP,54,88,A,124,31638,0,0,20
8,19:37:08,106.51.32.34:443,192.168.1.156:53274,TCP,54,91,FA,124,26362,0,27708,20
9,19:37:08,106.51.32.34:443,192.168.1.156:53274,TCP,78,91,PA,124,26339,0,27707,44
10,19:37:08,192.168.1.156:53274,106.51.32.34:443,TCP,54,128,A,1023,5664,0,38934,20
11,19:37:08,192.168.1.156:53274,106.51.32.34:443,TCP,54,128,A,1023,5663,0,38935,20
12,19:37:08,192.168.1.156:53274,106.51.32.34:443,TCP,54,128,FA,1023,5662,0,38936,20
13,19:37:08,106.51.32.34:443,192.168.1.156:53274,TCP,54,91,A,124,54070,0,0,20
14,19:37:08,162.159.133.234:443,192.168.1.156:52860,TCP,154,56,PA,9,23608,136,64221,120
15,19:37:08,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1023,33290,0,36343,20
16,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,149,56,PA,9,23612,136,64222,115
17,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1023,33289,0,36344,20
18,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,713,56,PA,9,23047,136,64223,679
19,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,123,56,PA,9,23636,136,64224,89
20,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1028,33288,0,36345,20
21,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,101,56,PA,9,23657,136,64225,67
22,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1027,33287,0,36346,20
23,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,151,56,PA,9,23606,136,64226,117
24,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1027,33286,0,36347,20
25,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,252,56,PA,9,23504,136,64227,218
26,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1026,33285,0,36348,20
27,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,140,56,PA,9,23615,136,64228,106
28,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1026,33284,0,36349,20
29,19:37:09,162.159.133.234:443,192.168.1.156:52860,TCP,558,56,PA,9,23196,136,64229,524
30,19:37:09,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1024,33283,0,36350,20
31,19:37:10,162.159.133.234:443,192.168.1.156:52860,TCP,100,56,PA,9,23653,136,64230,66
32,19:37:10,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1024,33282,0,36351,20
33,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,133,56,PA,9,23619,136,64231,99
34,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,138,56,PA,9,23613,136,64232,104
35,19:37:11,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1023,33281,0,36352,20
36,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,277,56,PA,9,23473,136,64233,243
37,19:37:11,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1022,33280,0,36353,20
38,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,101,56,PA,9,23648,136,64234,67
39,19:37:11,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1028,33279,0,36354,20
40,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,397,56,PA,9,23351,136,64235,363
41,19:37:11,192.168.1.156:53231,3.231.122.91:443,TCP,55,128,A,1024,55838,0,57385,21
42,19:37:11,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1026,33278,0,36355,20
43,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,135,56,PA,9,23612,136,64236,101
44,19:37:11,162.159.133.234:443,192.168.1.156:52860,TCP,242,56,PA,9,23504,136,64237,208
45,19:37:11,192.168.1.156:52860,162.159.133.234:443,TCP,54,128,A,1025,33277,0,36356,20
46,19:37:11,192.168.1.1:55851,239.255.255.250:1900,UDP,428,2,N/A,N/A,34101,0,16502,394
47,19:37:11,192.168.1.1:55851,239.255.255.250:1900,UDP,437,2,N/A,N/A,34091,0,16503,403
